environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns,instance_number
grid,6,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,317630927,325902213,33979.5,2598616,325902214,6543230000.0,325902214,5989260000.0,439,2312390.0,0,0.0,8031703,319421166,147603000.0,12534800000.0,105
grid,7,A* with IndexedHeap (D=2),19998,6336489,9737792,1885.41,2598616,6759582,743913000.0,6336489,485700000.0,0,0.0,2978211,192258000.0,0,2978211,0.0,1421870000.0,106
grid,7,ANA* with IndexedHeap (D=2),19998,616870442,628521697,108240.0,2598616,616960080,30812100000.0,616960080,39667800000.0,633,472408000.0,11561618,571642000.0,0,621248893,0.0,71523900000.0,107
grid,7,ANA* with BucketHeap (D=2),19998,584337654,596720343,81918.6,2598616,596720344,14848200000.0,596720344,24494500000.0,626,8284150.0,0,0.0,12254200,588892793,503018000.0,39351000000.0,108
grid,7,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,6775989,10411147,805.684,2598616,10411148,201773000.0,6775989,144652000.0,0,0.0,0,0.0,0,3184642,0.0,346425000.0,109
grid,7,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,587034492,599202695,83696.0,2598616,599202696,16416700000.0,599202696,24013800000.0,624,8739620.0,0,0.0,12040603,591372752,482543000.0,40439300000.0,110
grid,7,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,6775989,10411147,761.094,2598616,10411148,195295000.0,6775989,118245000.0,0,0.0,0,0.0,0,3184642,0.0,313540000.0,111
grid,7,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,432541311,442976054,48884.8,2598616,442976055,9639820000.0,442976055,9357410000.0,552,5097140.0,0,0.0,10314299,435449580,217879000.0,19002300000.0,112
grid,7,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,6775989,10411147,767.522,2598616,10411148,197129000.0,6775989,117713000.0,0,0.0,0,0.0,0,3184642,0.0,314842000.0,113
grid,7,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,373362909,383142203,41149.8,2598616,383142204,7993850000.0,383142204,7566240000.0,563,4088100.0,0,0.0,9659593,375623083,190756000.0,15564200000.0,114
grid,7,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,6775989,10411147,766.595,2598616,10411148,198478000.0,6775989,116493000.0,0,0.0,0,0.0,0,3184642,0.0,314972000.0,115
grid,7,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,344965065,353478116,37441.1,2598616,353478117,7197800000.0,353478117,6688810000.0,522,3311200.0,0,0.0,8202773,345952054,155220000.0,13889900000.0,116
grid,7,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,6775989,10411147,755.996,2598616,10411148,194765000.0,6775989,114855000.0,0,0.0,0,0.0,0,3184642,0.0,309620000.0,117
grid,7,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,332738787,342643168,36072.2,2598616,342643169,6928770000.0,342643169,6386750000.0,501,2913210.0,0,0.0,9582171,335146178,178608000.0,13318400000.0,118
grid,7,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,6775989,10411147,765.156,2598616,10411148,193978000.0,6775989,114537000.0,0,0.0,0,0.0,0,3184642,0.0,308514000.0,119
grid,7,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,345056344,353444014,36891.2,2598616,353444015,7059870000.0,353444015,6493720000.0,506,2908420.0,0,0.0,8031218,345914833,147555000.0,13556500000.0,120
grid,8,A* with IndexedHeap (D=2),19998,5741692,8823849,1804.21,2598616,6126901,748578000.0,5741692,442485000.0,0,0.0,2696949,177476000.0,0,2696949,0.0,1368540000.0,121
grid,8,ANA* with IndexedHeap (D=2),19998,623547969,636618116,110500.0,2598616,623642073,31541700000.0,623642073,40422200000.0,723,518636000.0,12976044,649620000.0,0,629605501,0.0,73132100000.0,122
grid,8,ANA* with BucketHeap (D=2),19998,581637897,593222841,82231.8,2598616,593222842,14984500000.0,593222842,24578900000.0,584,7517370.0,0,0.0,11449493,585859446,474386000.0,39570900000.0,123
grid,8,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,6454418,9919163,786.977,2598616,9919164,196926000.0,6454418,142249000.0,0,0.0,0,0.0,0,3033394,0.0,339175000.0,124
grid,8,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,585172538,596815016,82792.8,2598616,596815017,16377500000.0,596815017,23881900000.0,587,7799460.0,0,0.0,11506993,589451615,460459000.0,40267200000.0,125
grid,8,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,6454418,9919163,716.649,2598616,9919164,186071000.0,6454418,111844000.0,0,0.0,0,0.0,0,3033394,0.0,297915000.0,126
grid,8,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,465478097,476958852,52072.7,2598616,476958853,10392800000.0,476958853,10100100000.0,564,4857360.0,0,0.0,11278263,469717939,238830000.0,20497800000.0,127
grid,8,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,6454418,9919163,716.706,2598616,9919164,186027000.0,6454418,111075000.0,0,0.0,0,0.0,0,3033394,0.0,297102000.0,128
grid,8,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,380029521,389803853,41253.9,2598616,389803854,8121440000.0,389803854,7673530000.0,575,3614650.0,0,0.0,9611536,382656843,189209000.0,15798600000.0,129
